Device which have not reported since or before last 5 days
account_name,device_name,imei,sim_number,last_reported_date,last_reported_time,added_on
Bales Mechanical,SteppII_JSPR_US,352023000523114,8988216710503314207,28.05.2016,03:39:53,29.04.2009
Bales Mechanical,SteppII_JSPR_US,352023000478681,8988216710503314215,02.12.2018,13:38:40,29.04.2009
Bales Mechanical,Ulbotech_JSPR_US,351581053267716,8988216710012961209,08.08.2018,09:14:46,24.08.2016
Bales Mechanical,Ulbotech_JSPR_US,351581053265694,8988216710012961233,12.12.2017,23:28:00,24.08.2016
Bales Mechanical,Ulbotech_JSPR_US,351581053279174,8988216710012961191,29.09.2017,14:20:01,24.08.2016
Bales Mechanical,Ulbotech_JSPR_US,351581053278929,8988216710012961183,10.03.2017,12:10:08,24.08.2016
Palazzo Brick,Queclink_GL300_PODSYS_US,860599002961662,8944500510178334276,02.07.2018,11:56:34,08.03.2018
Datamatrix,Fox_3G_PODSYS_US,352648067536250,8944500410169112155,25.09.2017,16:53:33,24.05.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047098661,8944503005178023174,22.09.2018,10:26:11,20.08.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045203180,8944503005178023232,24.11.2018,02:10:01,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045202299,8944503005178023216,06.08.2018,09:34:17,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045202455,8944503005178023224,21.08.2018,08:38:14,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045200004,8944503005178023182,02.12.2018,08:42:36,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045201952,8944503005178023190,29.12.2018,05:29:10,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045202034,8944503005178023208,22.06.2018,12:05:50,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045229714,8944503005178023281,13.05.2018,07:03:04,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524044926377,8944502511169247939,25.11.2018,08:04:03,23.05.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524044950542,8944502511169247947,21.12.2018,02:48:04,23.05.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045198950,8944503005178023141,13.04.2018,16:27:39,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524044924687,8944502511169247962,09.06.2018,09:03:33,02.06.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047070785,8944503005178023133,16.11.2018,18:39:07,20.08.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045192060,8944503005178023059,07.08.2018,09:39:03,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045195766,8944503005178023125,01.05.2018,15:45:54,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045193613,8944503005178023083,04.11.2018,20:02:30,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045229490,8944503005178023273,11.05.2018,19:21:57,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047453551,8944501704188948485,28.10.2018,18:59:43,17.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045208122,8944503005178023257,16.06.2018,00:13:00,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045208205,8944503005178023265,16.11.2018,01:44:29,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047473609,8944501704188948972,09.12.2018,21:35:33,17.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047449534,8944501704188948493,18.12.2018,14:00:32,17.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045350940,8944503005178023315,03.07.2018,15:36:24,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045368843,8944503005178023323,03.11.2018,20:59:40,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045277226,8944503005178023307,10.02.2018,20:02:07,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045229805,8944503005178023299,14.02.2018,08:20:19,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045376044,8944503005178023349,29.10.2018,10:47:35,28.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524045198356,8944503005178023075,21.09.2018,09:52:40,29.09.2017
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047086799,8944500510178334326,06.08.2018,22:02:26,13.03.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047071734,8944500510178334433,02.10.2018,09:35:05,13.03.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047070272,8944500510178334334,30.12.2018,20:04:06,13.03.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047098521,8944500510178334342,31.03.2018,05:35:04,13.03.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047069266,8944500510178334359,16.04.2018,10:04:38,13.03.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047071239,8944500510178334367,31.03.2018,05:35:00,13.03.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047065041,8944500510178334375,05.12.2018,10:29:02,13.03.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047069878,8944500510178334383,27.03.2018,19:26:52,13.03.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047066833,8944500510178334417,29.07.2018,17:11:06,13.03.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047069423,8944500510178334441,27.03.2018,19:26:19,13.03.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047455952,8944501704188948998,20.11.2018,11:31:39,17.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047470571,8944501704188949871,14.11.2018,15:32:11,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047457107,8944501704188949012,05.12.2018,19:00:50,17.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047450474,8944501704188949038,26.12.2018,00:22:10,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047449781,8944501704188949053,07.12.2018,20:30:10,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047478202,8944501704188949186,12.10.2018,22:52:37,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047458030,8944501704188949046,26.10.2018,19:27:40,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047478228,8944501704188949129,06.12.2018,04:45:14,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047465126,8944501704188949137,02.10.2018,05:12:52,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047454161,8944501704188949160,31.10.2018,18:59:54,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047461950,8944501704188949152,09.10.2018,11:12:52,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047453965,8944501704188949145,14.09.2018,21:20:18,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047454658,8944501704188949434,11.09.2018,02:04:51,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047459475,8944501704188949384,09.10.2018,15:43:02,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047471322,8944501704188949376,14.10.2018,12:18:50,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047449674,8944501704188949368,10.10.2018,18:14:55,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047455093,8944501704188949350,12.10.2018,05:51:16,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047454211,8944501704188949343,27.08.2018,03:12:54,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047449153,8944501704188949335,17.09.2018,08:21:38,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047449112,8944501704188949327,13.09.2018,06:52:06,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047481909,8944501704188949319,05.11.2018,20:37:42,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047449492,8944501704188949301,13.09.2018,20:23:50,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047453700,8944501704188949293,05.10.2018,22:44:28,18.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047475752,8944501704188949285,31.12.2018,01:23:30,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047456620,8944501704188949277,03.11.2018,07:57:13,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047455028,8944501704188949269,23.12.2018,16:56:53,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047474292,8944501704188949251,23.10.2018,13:27:16,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047449963,8944501704188949244,10.10.2018,22:16:32,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047454260,8944501704188949236,08.11.2018,18:22:23,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047452884,8944501704188949228,31.12.2018,01:22:52,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047481297,8944501704188949210,27.12.2018,08:05:09,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047454823,8944501704188949202,05.10.2018,09:32:43,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047457115,8944501704188949194,12.12.2018,17:27:18,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047479259,8944501704188949681,02.11.2018,12:36:06,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047449021,8944501704188949673,13.11.2018,13:39:17,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047480067,8944501704188949665,23.10.2018,15:31:40,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047458840,8944501704188949657,19.09.2018,12:29:56,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047454310,8944501704188949640,26.10.2018,17:04:35,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047450615,8944501704188949632,11.11.2018,10:04:06,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047481032,8944501704188949624,09.11.2018,09:35:14,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047476396,8944501704188949616,27.10.2018,21:51:46,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047472536,8944501704188949608,15.10.2018,12:40:05,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047072054,8944501704188949590,21.10.2018,19:18:50,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047480380,8944501704188949582,26.10.2018,21:50:41,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047453569,8944501704188949897,21.11.2018,20:45:59,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047458378,8944501704188949574,19.10.2018,16:56:46,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047453619,8944501704188949905,19.10.2018,19:52:51,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047474599,8944501704188949913,23.09.2018,15:43:30,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047478772,8944501704188949921,05.10.2018,23:01:09,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047450516,8944501704188949558,25.07.2018,01:13:30,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047468070,8944501704188949939,28.09.2018,19:22:54,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047449559,8944501704188949541,26.10.2018,15:29:18,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047480398,8944501704188949442,29.12.2018,16:05:38,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047455143,8944501704188949459,29.10.2018,06:51:51,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047449682,8944501704188949525,27.10.2018,03:05:05,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047476339,8944501704188949475,07.11.2018,03:02:21,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047480174,8944501704188949517,07.10.2018,16:20:36,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047450805,8944501704188949491,24.10.2018,10:15:04,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047479242,8944501704188949509,20.12.2018,15:05:34,19.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047480083,8944501704188949814,14.11.2018,13:09:22,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047479473,8944501704188949855,14.12.2018,15:36:58,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047476362,8944501704188949830,05.10.2018,03:30:27,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047467262,8944501704188949848,13.12.2018,14:43:26,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047479556,8944501704188949806,14.12.2018,17:58:24,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047481917,8944501704188949798,14.11.2018,13:45:03,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047479234,8944501704188949780,15.12.2018,00:18:34,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047480612,8944501704188949772,14.12.2018,18:23:50,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047482022,8944501704188949764,14.11.2018,16:20:55,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047449708,8944501704188949756,21.09.2018,11:04:15,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047455846,8944501704188949749,02.11.2018,00:40:47,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047457099,8944501704188949723,14.12.2018,15:17:20,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047458352,8944501704188949715,14.12.2018,15:30:11,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047458238,8944501704188949731,14.11.2018,10:56:46,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047481768,8944501704188949707,05.11.2018,22:08:43,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047453908,8944501704188949699,14.11.2018,10:54:25,20.07.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047098588,8944501101188604756,10.11.2018,19:18:31,21.08.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047068342,8944501101188604764,14.10.2018,17:03:23,24.08.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047077343,8944502305189350074,02.11.2018,12:17:50,24.08.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047077335,8944502511169699378,30.09.2018,09:02:51,24.08.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047659157,8944501704189208293,28.12.2018,17:34:54,04.09.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047651295,8944501704189208319,10.12.2018,18:24:55,04.09.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047654836,8944501704189208327,24.12.2018,21:48:41,04.09.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047622411,8944501704189208343,11.12.2018,23:53:42,04.09.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047648945,8944501704189208350,23.12.2018,03:34:59,04.09.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047659926,8944501704189208400,31.12.2018,02:03:06,04.09.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047649869,8944501704189208418,12.09.2018,13:32:46,04.09.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047648622,8944501704189208434,12.09.2018,13:32:41,04.09.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047665121,8944501704189208442,12.09.2018,13:32:23,04.09.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047650099,8944501704189208459,24.12.2018,11:35:06,04.09.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047649653,8944501704189208467,02.12.2018,10:05:10,04.09.2018
Pitney Bowes,Micron_Prime_1_PODSYS_US,354524047651352,8944501704189208475,15.12.2018,01:32:37,04.09.2018
Affordable GPS Tracking,SteppII_JSPR_US,352023005911173,8988216710503095111,15.10.2018,02:17:30,26.10.2010
Affordable GPS Tracking,SteppII_JSPR_US,352023006305946,08988216710503095145,22.02.2018,17:38:21,26.10.2010
Affordable GPS Tracking,SteppIII_JSPR_US,352023006315226,000000000,09.12.2015,10:22:47,01.01.2011
Affordable GPS Tracking,SteppII_RW_US,352023006314765,99999999,04.09.2015,19:47:48,05.01.2011
Affordable GPS Tracking,Queclink_GL300_PODSYS_US,860599001308345,8944500410169111991,12.01.2018,16:44:36,12.12.2016
Affordable GPS Tracking,Queclink_GL300W_JSPR_US,867162020015012,8988216710006704474,20.10.2016,10:42:38,09.05.2016
Affordable GPS Tracking,Queclink_GL300W_JSPR_US,862369030005504,8944501108169048259,22.10.2016,02:49:13,13.10.2016
Affordable GPS Tracking,Queclink_GL300_PODSYS_US,862369030006445,8944501108169048275,21.10.2016,10:47:27,13.10.2016
Affordable GPS Tracking,Queclink_GL200_JSPR_US,867844001608481,8988216710010277640,09.08.2015,06:25:06,17.07.2014
Affordable GPS Tracking,Queclink_GL300W_JSPR_US,862369030005744,8944501108169048267,21.10.2016,10:48:32,13.10.2016
Affordable GPS Tracking,Queclink_GL200_JSPR_US,867844002106212,8988216710012237840,20.04.2016,05:39:53,12.08.2015
Affordable GPS Tracking,SteppII_RW_US,352023006507681,8901260360018149074,17.03.2016,14:19:05,25.06.2010
Affordable GPS Tracking,Queclink_GL300W_JSPR_US,867162020027702,8988216710008015580,16.10.2016,15:46:47,26.08.2016
Affordable GPS Tracking,Queclink_GL200_JSPR_US,867844002099086,8988216710012237832,09.08.2016,12:02:47,12.08.2015
Affordable GPS Tracking,Queclink_GL200_JSPR_US,867844001608416,8988216710010277632,09.12.2016,10:11:53,17.07.2014
Affordable GPS Tracking,Queclink_GL300W_JSPR_US,867162020024931,8988216710006704508,20.10.2016,11:16:49,09.05.2016
Affordable GPS Tracking,Queclink_GL300_PODSYS_US,860599002975233,8944500510178334284,12.03.2018,16:42:31,08.03.2018
Affordable GPS Tracking,Queclink_GL300_PODSYS_US,860599002964294,8944500510178334292,15.03.2018,23:26:33,08.03.2018
Infospectrum-Demo,Ulbotech_PODSYS_US,868323024010677,8944502010148292553,03.10.2017,13:38:00,27.06.2016
The Lighting Geek,Ulbotech_PODSYS_US,353836058782061,8944501704188950044,27.12.2018,13:19:53,31.07.2018
Air Voyance Inc.,Atrak_AX5_JSPR_US,352964050839456,8988216710011234541,12.06.2015,09:24:40,03.10.2014
Raw Gadgets,Queclink_GL200_JSPR_US,867844000709967,8988216710008579171,25.10.2016,00:49:57,23.02.2013
O.M. Distributors Inc.,Atrak_AX5_JSPR_US,352599046939703,8988216710010140228,05.09.2018,14:32:16,25.04.2016
O.M. Distributors Inc.,SteppIII_RW_US,354476020248062,8901260430018376587F,24.11.2018,23:23:09,20.08.2009
O.M. Distributors Inc.,SteppIII_RW_US,357023002967223,8901260580037592331,28.04.2015,10:12:08,02.07.2010
O.M. Distributors Inc.,Queclink_GV500_JSPR_US,864251020074500,8988216710011680016,22.05.2017,20:59:35,11.02.2015
CHARLES EDWARD WILSON,Ulbotech_PODSYS_US,869103026063729,8944500410169112122,13.01.2017,12:06:10,13.01.2017
LARRY ANHALT,Ulbotech_PODSYS_US,869103026071060,8944500410169112130,13.01.2017,12:10:26,13.01.2017
NANCY  DAVID MILES,Ulbotech_PODSYS_US,869103026063620,8944501204168952151,28.12.2017,13:48:10,08.12.2016
craig marsh,Ulbotech_PODSYS_US,351581053281360,8944500410169112205,09.03.2017,14:43:48,09.03.2017
joseph brooks,Ulbotech_PODSYS_US,351581053268110,8944500410169112197,09.03.2017,14:14:01,09.03.2017
DownNOutLLC,Queclink_GL300_PODSYS_US,862369030007435,8944501108169048283,28.10.2016,10:02:08,13.10.2016
DownNOutLLC,Queclink_GL300_PODSYS_US,860599000249045,8944501204168951963,13.04.2018,04:17:05,26.10.2016
HOWARD WAGONER,Queclink_GV500_PODSYS_US,864251020076836,8944502511169247921,22.05.2017,14:50:16,22.05.2017
JOHN GUIPRE,Ulbotech_PODSYS_US,869103026027435,8944501204168952136,09.12.2016,15:34:42,08.12.2016
Josiah A English jr,Ulbotech_PODSYS_US,351581053277194,8944500410169112098,13.01.2017,14:35:32,13.01.2017
HAL KLOSTERMAN,Ulbotech_PODSYS_US,351581053281048,8944500410169112106,30.01.2018,17:51:34,13.01.2017
In Freight,infoTRAK_ISELD9_SPRINT_US,35500207515665,51050037004E,14.08.2018,12:37:32,20.12.2017
In Freight,infoTRAK_ISELD9_SPRINT_US,35500207520028,5115003A0039,26.12.2017,12:18:59,20.12.2017
In Freight,infoTRAK_ISELD9_SPRINT_US,35500207513950,510500380036,26.12.2017,12:16:20,26.12.2017
In Freight,Queclink_GL200_RW_US,867844000967003,8901260360018126494F,29.12.2018,19:41:31,27.02.2013
In Freight,Queclink_GL200_JSPR_US,867844001060394,8988216710009052400,08.09.2018,08:37:28,31.05.2013
In Freight,Micron_Prime_1_PODSYS_US,354524044926633,8944502511169247954,01.08.2017,23:59:14,27.06.2017
In Freight,infoTRAK_ISELD9_SPRINT_US,35500207515373,5103002F004C,06.08.2018,15:18:02,20.12.2017
FHD,Queclink_GL200_PODSYS_US,867844000805575,8944501108169048127,30.12.2018,23:40:53,14.12.2012
FHD,Queclink_GV300_JSPR_US,861074023443040,8988216710011234079,30.12.2018,23:43:52,11.09.2014
FHD,Fox_3G_PODSYS_US,359486060279880,8944502511169247475,31.12.2018,00:08:00,31.03.2017
FHD,Queclink_GL200_PODSYS_US,867844001431728,8944501108169048101,21.12.2018,18:44:10,10.12.2013
FHD,Queclink_GL200_PODSYS_US,867844001431355,8944501704189208533,21.11.2018,12:00:55,10.12.2013
FHD,Queclink_GL200_PODSYS_US,867844000965015,8944501108169048135,29.12.2018,17:26:31,27.02.2013
FHD,Fox_3G_PODSYS_US,359486060284989,8944502511169247483,30.12.2018,23:31:10,31.03.2017
FHD,Fox_3G_PODSYS_US,359486060294111,8944502511169247491,30.12.2018,23:46:52,31.03.2017
FHD,Queclink_GL200_PODSYS_US,867844001228405,8944501108169048168,11.11.2018,17:27:07,31.10.2013
FHD,Queclink_GL200_PODSYS_US,867844001433435,8944501108169048119,16.12.2018,11:07:29,10.12.2013
FHD,Queclink_GV300_JSPR_US,359231038723456,40006,16.07.2018,15:52:50,30.01.2015
Eagle Testing,SteppIII_JSPR_US,352451044377454,8988216710010141242,22.04.2018,04:17:13,23.03.2016
Eagle Testing,SteppIII_JSPR_US,357023003293595,8988216710008233969,14.11.2016,22:43:54,06.05.2015
Eagle Testing,SteppIII_JSPR_US,357023003335883,8988216710008233977,23.08.2018,12:27:52,06.05.2015
Eagle Testing,SteppIII_PODSYS_US,355797034984395,8944501704188950077,28.08.2018,14:49:56,28.08.2018
Eagle Testing,SteppIII_PODSYS_US,355797031306998,8944501704188950093,28.12.2018,05:38:26,28.08.2018
Eagle Testing,SteppIII_PODSYS_US,355797034991168,8944501704188950085,28.08.2018,14:36:17,28.08.2018
Sean Henigan ,Ulbotech_PODSYS_US,869103026002339,8944500410169112114,09.11.2017,16:21:55,13.01.2017
Jeremy Smith ,Ulbotech_PODSYS_US,869103026142879,8944501204168952169,09.12.2016,15:28:11,08.12.2016
MARLEY BOULDIN,Ulbotech_PODSYS_US,869103026063406,8944501204168952144,09.12.2016,15:28:26,08.12.2016
Luther Reynolds,Ulbotech_PODSYS_US,351581053279422,8944502511169699154,16.06.2017,12:41:06,16.06.2017
Michael Sugrue,Ulbotech_PODSYS_US,351581053281063,8944502511169699162,16.04.2018,07:39:22,16.06.2017
Tony Cole,Queclink_GL200_JSPR_US,867844001609216,8988216710010277657,19.03.2017,12:00:46,15.08.2014
PEMCO,FoxLT_JSPR_US,359486060270533,8988216710012961647,15.06.2017,02:33:29,26.08.2016
PEMCO,Ulbotech_JSPR_US,351581053279117,8988216710012961662,19.09.2018,07:42:38,26.08.2016
PEMCO,FoxLT_JSPR_US,359486060304365,8988216710012961589,02.10.2018,06:32:30,26.08.2016
PEMCO,USGlobalsat_TR900_JSPR_US,012813001839655,8988216710012238053,29.06.2018,08:33:20,16.11.2015
PEMCO,Queclink_GL200_JSPR_US,867844001225906,8988216710503095855,27.11.2015,14:48:49,27.09.2013
PEMCO,FoxLT_JSPR_US,359486060270590,8988216710012961571,12.07.2018,06:59:23,26.08.2016
PEMCO,FoxLT_JSPR_US,359486060270582,8988216710012961621,07.02.2017,21:33:08,26.08.2016
PEMCO,FoxLT_JSPR_US,359486060270558,8988216710012961639,08.11.2017,12:14:40,26.08.2016
PEMCO,Queclink_GL200_JSPR_US,867844001226607,8988216710010141838,02.02.2016,23:29:13,08.03.2014
